strategy_name,submission_id,filename,submitted_at,artifact_path,run_dir,final_pnl,max_pnl,min_pnl,max_drawdown,max_drawdown_pct,first_positive_ts,pnl_slope,pnl_volatility,num_points,time_horizon,peak_to_final_drop,recovery_after_drawdown,trade_count,products,raw_fields_found
ashv2_ask_half_4_ask_mult_0.5_ask_mult_0.75_base_ske_-0.25_bid_half_2,182877,105-ashv2_ask_half_4_ask_mult_0.5_ask_mult_0.75_base_ske_-0.25_bid_half_2.py,2026-04-16T06:35:38.004000+00:00,runs/2026-04-16_02-35-37_ashv2_ask_half_4_ask_mult_0.5_ask_mult_0.75_base_ske_-0.25_bid_half_2/artifact.json,runs/2026-04-16_02-35-37_ashv2_ask_half_4_ask_mult_0.5_ask_mult_0.75_base_ske_-0.25_bid_half_2,8594.65625,8594.65625,-682.0,439.09375,0.010267741096958669,7700.0,0.09377801962035973,23.81236862694039,500,99800.0,0.0,9276.65625,,,
ashv2_ask_half_2_ask_mult_0.5_ask_mult_0.75_base_ske_0.25_bid_half_4,182931,106-ashv2_ask_half_2_ask_mult_0.5_ask_mult_0.75_base_ske_0.25_bid_half_4.py,2026-04-16T06:37:33.291000+00:00,runs/2026-04-16_02-37-33_ashv2_ask_half_2_ask_mult_0.5_ask_mult_0.75_base_ske_0.25_bid_half_4/artifact.json,runs/2026-04-16_02-37-33_ashv2_ask_half_2_ask_mult_0.5_ask_mult_0.75_base_ske_0.25_bid_half_4,8358.21875,8358.21875,-682.0,439.09375,0.05790108564535585,7900.0,0.09157212408443384,24.77420169405705,500,99800.0,0.0,9040.21875,,,
ashv2_ask_half_2_ask_mult_0.0_bid_half_2_bid_mult_0.75_flatten__1,182992,107-ashv2_ask_half_2_ask_mult_0.0_bid_half_2_bid_mult_0.75_flatten__1.py,2026-04-16T06:39:38.621000+00:00,runs/2026-04-16_02-39-38_ashv2_ask_half_2_ask_mult_0.0_bid_half_2_bid_mult_0.75_flatten__1/artifact.json,runs/2026-04-16_02-39-38_ashv2_ask_half_2_ask_mult_0.0_bid_half_2_bid_mult_0.75_flatten__1,7943.71875,7943.71875,-682.0,439.09375,0.04725495111556781,8100.0,0.08743160791174415,23.691188047459036,500,99800.0,0.0,8625.71875,,,
ashv2_ask_mult_0.25_base_ske_-0.5_bid_mult_0.0_bid_mult_0.75_flatten__20,183041,108-ashv2_ask_mult_0.25_base_ske_-0.5_bid_mult_0.0_bid_mult_0.75_flatten__20.py,2026-04-16T06:41:33.285000+00:00,runs/2026-04-16_02-41-33_ashv2_ask_mult_0.25_base_ske_-0.5_bid_mult_0.0_bid_mult_0.75_flatten__20/artifact.json,runs/2026-04-16_02-41-33_ashv2_ask_mult_0.25_base_ske_-0.5_bid_mult_0.0_bid_mult_0.75_flatten__20,8417.25,8417.25,-682.0,439.09375,0.006667584524910017,7900.0,0.09192635641112877,22.555486621152443,500,99800.0,0.0,9099.25,,,
ashv2_ask_half_4_ask_mult_0.0_ask_mult_0.25_base_ske_0.25_bid_half_4,183098,109-ashv2_ask_half_4_ask_mult_0.0_ask_mult_0.25_base_ske_0.25_bid_half_4.py,2026-04-16T06:43:38.707000+00:00,runs/2026-04-16_02-43-38_ashv2_ask_half_4_ask_mult_0.0_ask_mult_0.25_base_ske_0.25_bid_half_4/artifact.json,runs/2026-04-16_02-43-38_ashv2_ask_half_4_ask_mult_0.0_ask_mult_0.25_base_ske_0.25_bid_half_4,8738.0625,8738.0625,-682.0,439.09375,0.015507596876326916,7700.0,0.0945748039862472,24.641201810520418,500,99800.0,0.0,9420.0625,,,
ashv2_ask_mult_0.0_base_ske_0.25_bid_half_4_bid_mult_0.0_flatten__4,183149,110-ashv2_ask_mult_0.0_base_ske_0.25_bid_half_4_bid_mult_0.0_flatten__4.py,2026-04-16T06:45:34.438000+00:00,runs/2026-04-16_02-45-34_ashv2_ask_mult_0.0_base_ske_0.25_bid_half_4_bid_mult_0.0_flatten__4/artifact.json,runs/2026-04-16_02-45-34_ashv2_ask_mult_0.0_base_ske_0.25_bid_half_4_bid_mult_0.0_flatten__4,8013.03125,8013.03125,-682.0,439.09375,0.017730517781640375,7900.0,0.0861647860923475,23.83304542759892,500,99800.0,0.0,8695.03125,,,
ashv2_ask_mult_0.0_bid_half_5_bid_mult_0.25_flatten__0.7_imbalanc_0.4,183202,111-ashv2_ask_mult_0.0_bid_half_5_bid_mult_0.25_flatten__0.7_imbalanc_0.4.py,2026-04-16T06:47:39.600000+00:00,runs/2026-04-16_02-47-39_ashv2_ask_mult_0.0_bid_half_5_bid_mult_0.25_flatten__0.7_imbalanc_0.4/artifact.json,runs/2026-04-16_02-47-39_ashv2_ask_mult_0.0_bid_half_5_bid_mult_0.25_flatten__0.7_imbalanc_0.4,8399.875,8399.875,-682.0,439.09375,0.0376653880599537,7700.0,0.09096931835157028,23.94678692356727,500,99800.0,0.0,9081.875,,,
ashv2_ask_mult_0.25_base_ske_0.5_bid_half_6_flatten__14_flatten__0.95,183249,112-ashv2_ask_mult_0.25_base_ske_0.5_bid_half_6_flatten__14_flatten__0.95.py,2026-04-16T06:49:34.205000+00:00,runs/2026-04-16_02-49-33_ashv2_ask_mult_0.25_base_ske_0.5_bid_half_6_flatten__14_flatten__0.95/artifact.json,runs/2026-04-16_02-49-33_ashv2_ask_mult_0.25_base_ske_0.5_bid_half_6_flatten__14_flatten__0.95,8101.90625,8101.90625,-682.0,439.09375,0.058184990358253204,7500.0,0.08618580140492436,27.445795061769008,500,99800.0,0.0,8783.90625,,,
ashv2_ask_half_8_ask_mult_0.5_base_ske_-0.5_bid_half_2_bid_mult_0.5,183303,113-ashv2_ask_half_8_ask_mult_0.5_base_ske_-0.5_bid_half_2_bid_mult_0.5.py,2026-04-16T06:51:39.655000+00:00,runs/2026-04-16_02-51-39_ashv2_ask_half_8_ask_mult_0.5_base_ske_-0.5_bid_half_2_bid_mult_0.5/artifact.json,runs/2026-04-16_02-51-39_ashv2_ask_half_8_ask_mult_0.5_base_ske_-0.5_bid_half_2_bid_mult_0.5,8202.15625,8202.15625,-682.0,439.09375,0.008300801968854755,7700.0,0.08768031397774029,23.992934025637943,500,99800.0,0.0,8884.15625,,,
ashv2_ask_half_5_ask_mult_0.0_ask_mult_0.25_base_ske_-0.25_bid_half_8,183355,114-ashv2_ask_half_5_ask_mult_0.0_ask_mult_0.25_base_ske_-0.25_bid_half_8.py,2026-04-16T06:53:34.849000+00:00,runs/2026-04-16_02-53-34_ashv2_ask_half_5_ask_mult_0.0_ask_mult_0.25_base_ske_-0.25_bid_half_8/artifact.json,runs/2026-04-16_02-53-34_ashv2_ask_half_5_ask_mult_0.0_ask_mult_0.25_base_ske_-0.25_bid_half_8,8707.84375,8707.84375,-682.0,439.09375,0.026126094447765393,7300.0,0.0953618444183933,25.89364334953631,500,99800.0,0.0,9389.84375,,,
ashv2_ask_half_8_ask_mult_0.5_ask_mult_1.0_bid_half_7_bid_mult_0.75,183412,115-ashv2_ask_half_8_ask_mult_0.5_ask_mult_1.0_bid_half_7_bid_mult_0.75.py,2026-04-16T06:55:40.475000+00:00,runs/2026-04-16_02-55-40_ashv2_ask_half_8_ask_mult_0.5_ask_mult_1.0_bid_half_7_bid_mult_0.75/artifact.json,runs/2026-04-16_02-55-40_ashv2_ask_half_8_ask_mult_0.5_ask_mult_1.0_bid_half_7_bid_mult_0.75,8547.625,8547.625,-682.0,439.09375,0.011281310275802186,7300.0,0.09101902954088378,25.183432202439185,500,99800.0,0.0,9229.625,,,
ashv2_ask_half_7_ask_mult_0.0_base_ske_0.25_bid_half_7_bid_mult_0.5,183458,116-ashv2_ask_half_7_ask_mult_0.0_base_ske_0.25_bid_half_7_bid_mult_0.5.py,2026-04-16T06:57:35.380000+00:00,runs/2026-04-16_02-57-35_ashv2_ask_half_7_ask_mult_0.0_base_ske_0.25_bid_half_7_bid_mult_0.5/artifact.json,runs/2026-04-16_02-57-35_ashv2_ask_half_7_ask_mult_0.0_base_ske_0.25_bid_half_7_bid_mult_0.5,8771.9375,8771.9375,-682.0,439.09375,0.019769472581208522,7300.0,0.09460964487850139,24.841544898535332,500,99800.0,0.0,9453.9375,,,
ashv2_ask_half_5_ask_mult_0.5_ask_mult_1.0_base_ske_-0.5_bid_half_7,183503,117-ashv2_ask_half_5_ask_mult_0.5_ask_mult_1.0_base_ske_-0.5_bid_half_7.py,2026-04-16T06:59:40.888000+00:00,runs/2026-04-16_02-59-40_ashv2_ask_half_5_ask_mult_0.5_ask_mult_1.0_base_ske_-0.5_bid_half_7/artifact.json,runs/2026-04-16_02-59-40_ashv2_ask_half_5_ask_mult_0.5_ask_mult_1.0_base_ske_-0.5_bid_half_7,8811.96875,8811.96875,-682.0,439.09375,0.020522149878718244,7700.0,0.09617791152102108,23.96330461959541,500,99800.0,0.0,9493.96875,,,
ashv2_ask_half_6_ask_mult_0.0_base_ske_0.25_bid_mult_0.75_flatten__12,183546,118-ashv2_ask_half_6_ask_mult_0.0_base_ske_0.25_bid_mult_0.75_flatten__12.py,2026-04-16T07:01:35.807000+00:00,runs/2026-04-16_03-01-35_ashv2_ask_half_6_ask_mult_0.0_base_ske_0.25_bid_mult_0.75_flatten__12/artifact.json,runs/2026-04-16_03-01-35_ashv2_ask_half_6_ask_mult_0.0_base_ske_0.25_bid_mult_0.75_flatten__12,8511.1875,8511.1875,-682.0,439.09375,0.01202116333137779,7700.0,0.09173894812782377,23.825662285338282,500,99800.0,0.0,9193.1875,,,
ashv2_ask_half_2_ask_mult_0.25_bid_half_5_bid_mult_0.0_flatten__1,183599,119-ashv2_ask_half_2_ask_mult_0.25_bid_half_5_bid_mult_0.0_flatten__1.py,2026-04-16T07:03:30.872000+00:00,runs/2026-04-16_03-03-30_ashv2_ask_half_2_ask_mult_0.25_bid_half_5_bid_mult_0.0_flatten__1/artifact.json,runs/2026-04-16_03-03-30_ashv2_ask_half_2_ask_mult_0.25_bid_half_5_bid_mult_0.0_flatten__1,8071.8125,8071.8125,-682.0,439.09375,0.03600513566214151,7700.0,0.08556418027765861,26.69874367389518,500,99800.0,0.0,8753.8125,,,
ashv2_ask_half_7_ask_mult_0.25_base_ske_0.25_bid_half_4_flatten__1,183657,120-ashv2_ask_half_7_ask_mult_0.25_base_ske_0.25_bid_half_4_flatten__1.py,2026-04-16T07:05:35.262000+00:00,runs/2026-04-16_03-05-34_ashv2_ask_half_7_ask_mult_0.25_base_ske_0.25_bid_half_4_flatten__1/artifact.json,runs/2026-04-16_03-05-34_ashv2_ask_half_7_ask_mult_0.25_base_ske_0.25_bid_half_4_flatten__1,8424.3125,8424.3125,-682.0,439.09375,0.023790333413932996,7500.0,0.08918405497887616,26.47343763158932,500,99800.0,0.0,9106.3125,,,
ashv2_ask_half_1_ask_mult_0.0_ask_mult_0.75_base_ske_0.25_bid_mult_1.0,183716,121-ashv2_ask_half_1_ask_mult_0.0_ask_mult_0.75_base_ske_0.25_bid_mult_1.0.py,2026-04-16T07:07:41.432000+00:00,runs/2026-04-16_03-07-41_ashv2_ask_half_1_ask_mult_0.0_ask_mult_0.75_base_ske_0.25_bid_mult_1.0/artifact.json,runs/2026-04-16_03-07-41_ashv2_ask_half_1_ask_mult_0.0_ask_mult_0.75_base_ske_0.25_bid_mult_1.0,8310.03125,8310.03125,-682.0,439.09375,0.01174517216716052,7900.0,0.09061045360673631,23.63201833860929,500,99800.0,0.0,8992.03125,,,
ashv2_ask_half_5_ask_mult_0.25_base_ske_-0.25_bid_half_4_bid_mult_0.0,183754,122-ashv2_ask_half_5_ask_mult_0.25_base_ske_-0.25_bid_half_4_bid_mult_0.0.py,2026-04-16T07:09:36.168000+00:00,runs/2026-04-16_03-09-35_ashv2_ask_half_5_ask_mult_0.25_base_ske_-0.25_bid_half_4_bid_mult_0.0/artifact.json,runs/2026-04-16_03-09-35_ashv2_ask_half_5_ask_mult_0.25_base_ske_-0.25_bid_half_4_bid_mult_0.0,8777.28125,8777.28125,-682.0,439.09375,0.01020266839019436,7700.0,0.09525418309907614,23.811965201642092,500,99800.0,0.0,9459.28125,,,
ashv2_ask_half_6_ask_mult_0.5_ask_mult_0.0_bid_half_6_bid_mult_0.5,183805,123-ashv2_ask_half_6_ask_mult_0.5_ask_mult_0.0_bid_half_6_bid_mult_0.5.py,2026-04-16T07:11:31.386000+00:00,runs/2026-04-16_03-11-31_ashv2_ask_half_6_ask_mult_0.5_ask_mult_0.0_bid_half_6_bid_mult_0.5/artifact.json,runs/2026-04-16_03-11-31_ashv2_ask_half_6_ask_mult_0.5_ask_mult_0.0_bid_half_6_bid_mult_0.5,8786.28125,8786.28125,-682.0,439.09375,0.02394449615026652,7700.0,0.09471168191266514,25.54403841202826,500,99800.0,0.0,9468.28125,,,
ashv2_ask_half_6_base_ske_0.25_bid_half_7_bid_mult_0.0_flatten__1,183856,124-ashv2_ask_half_6_base_ske_0.25_bid_half_7_bid_mult_0.0_flatten__1.py,2026-04-16T07:13:36.594000+00:00,runs/2026-04-16_03-13-36_ashv2_ask_half_6_base_ske_0.25_bid_half_7_bid_mult_0.0_flatten__1/artifact.json,runs/2026-04-16_03-13-36_ashv2_ask_half_6_base_ske_0.25_bid_half_7_bid_mult_0.0_flatten__1,8923.34375,8923.34375,-682.0,439.09375,0.05067489394523718,7700.0,0.09568030493996976,25.50008685829904,500,99800.0,0.0,9605.34375,,,
ashv2_ask_half_6_bid_half_6_bid_mult_0.0_bid_mult_0.75_flatten__1,183912,125-ashv2_ask_half_6_bid_half_6_bid_mult_0.0_bid_mult_0.75_flatten__1.py,2026-04-16T07:15:32.461000+00:00,runs/2026-04-16_03-15-32_ashv2_ask_half_6_bid_half_6_bid_mult_0.0_bid_mult_0.75_flatten__1/artifact.json,runs/2026-04-16_03-15-32_ashv2_ask_half_6_bid_half_6_bid_mult_0.0_bid_mult_0.75_flatten__1,9410.75,9410.75,-682.0,439.09375,0.01015595121743934,7300.0,0.10209952706053012,25.870106402445526,500,99800.0,0.0,10092.75,,,
ashv2_ask_half_2_ask_mult_0.0_ask_mult_0.25_base_ske_-0.5_bid_half_6,183978,126-ashv2_ask_half_2_ask_mult_0.0_ask_mult_0.25_base_ske_-0.5_bid_half_6.py,2026-04-16T07:17:37.737000+00:00,runs/2026-04-16_03-17-37_ashv2_ask_half_2_ask_mult_0.0_ask_mult_0.25_base_ske_-0.5_bid_half_6/artifact.json,runs/2026-04-16_03-17-37_ashv2_ask_half_2_ask_mult_0.0_ask_mult_0.25_base_ske_-0.5_bid_half_6,8628.28125,8628.28125,-682.0,439.09375,0.004951553811534099,7500.0,0.09395613437344374,23.5753895735911,500,99800.0,0.0,9310.28125,,,
ashv2_ask_half_5_base_ske_0.5_bid_half_1_bid_mult_0.5_bid_mult_0.75,184034,127-ashv2_ask_half_5_base_ske_0.5_bid_half_1_bid_mult_0.5_bid_mult_0.75.py,2026-04-16T07:19:31.778000+00:00,runs/2026-04-16_03-19-31_ashv2_ask_half_5_base_ske_0.5_bid_half_1_bid_mult_0.5_bid_mult_0.75/artifact.json,runs/2026-04-16_03-19-31_ashv2_ask_half_5_base_ske_0.5_bid_half_1_bid_mult_0.5_bid_mult_0.75,8371.25,8371.25,-682.0,439.09375,0.008037397710264934,7700.0,0.09017370805069158,23.668982884329644,500,99800.0,0.0,9053.25,,,
